Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Tennessee,5514129.0,222601.0,1241.0,36.0,2620.0,2323.0,14247.0,901.0,4228.0,1183.0,2630.0,161.0,2776.0,4337.0,4692.0,1745.0,12631.0,4194.0,8442.0,1839.0,191.0,1818.0,6313.0,8924.0,5567.0,38.0,378.0,12037.0,840.0,47
Texas,14997845.0,6696374.0,4798.0,436.0,11498.0,17225.0,70789.0,6024.0,18714.0,7877.0,8707.0,1266.0,23332.0,27695.0,53772.0,54719.0,131824.0,15399.0,53183.0,10662.0,380.0,10965.0,11156.0,181674.0,66198.0,587.0,2488.0,48413.0,5097.0,48
Utah,2105421.0,233066.0,277.0,5.0,3520.0,7538.0,9762.0,1115.0,4043.0,730.0,3702.0,708.0,1352.0,395.0,1205.0,620.0,10606.0,4585.0,4948.0,1883.0,229.0,1354.0,1759.0,5951.0,4196.0,9036.0,286.0,1751.0,252.0,49
Vermont,562399.0,6333.0,20.0,11.0,625.0,443.0,2202.0,172.0,531.0,551.0,1325.0,30.0,56.0,186.0,46.0,272.0,1530.0,287.0,452.0,69.0,0.0,122.0,64.0,1079.0,240.0,8.0,78.0,264.0,122.0,50
Virginia,6352945.0,483452.0,5211.0,322.0,10390.0,8082.0,28787.0,7287.0,13878.0,4335.0,4029.0,1569.0,23135.0,7273.0,25136.0,23122.0,47491.0,9683.0,57821.0,4599.0,74.0,6153.0,2895.0,47221.0,41544.0,154.0,1942.0,32739.0,1397.0,51
Washington,5113710.0,488617.0,679.0,263.0,6359.0,4655.0,32958.0,2931.0,51027.0,5127.0,5459.0,1326.0,7519.0,1909.0,14090.0,3426.0,77720.0,24224.0,50762.0,15582.0,2070.0,5561.0,7694.0,55740.0,51897.0,301.0,1514.0,9669.0,2127.0,53
West Virginia,1701752.0,17390.0,10.0,0.0,1606.0,585.0,2921.0,378.0,472.0,276.0,239.0,0.0,267.0,237.0,543.0,507.0,2137.0,713.0,765.0,15.0,0.0,428.0,11.0,849.0,941.0,0.0,138.0,1694.0,137.0,54
Wisconsin,4857740.0,237179.0,263.0,264.0,5665.0,1211.0,37306.0,2957.0,6147.0,8108.0,5084.0,220.0,935.0,1670.0,4529.0,2972.0,13524.0,1850.0,4736.0,867.0,38762.0,1109.0,5105.0,2941.0,4817.0,96.0,503.0,5467.0,794.0,55
Wyoming,482323.0,23514.0,0.0,2.0,274.0,358.0,1796.0,306.0,402.0,108.0,49.0,0.0,117.0,134.0,54.0,95.0,578.0,292.0,225.0,0.0,0.0,56.0,0.0,92.0,506.0,69.0,25.0,70.0,37.0,56
Puerto Rico,160164.0,3348549.0,110.0,38.0,301.0,523.0,369.0,14.0,63.0,75.0,0.0,0.0,14.0,0.0,120.0,11.0,820.0,82.0,45.0,0.0,0.0,7.0,0.0,51.0,32.0,0.0,0.0,372.0,68.0,72
