Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
South Carolina,4283646.0,205469.0,1060.0,1489.0,2319.0,4055.0,11542.0,1617.0,892.0,3548.0,28.0,4358.0,3451.0,1312.0,603.0,499.0,1348.0,1163.0,878.0,11735.0,2216.0,4769.0,1207.0,5509.0,2135.0,6957.0,5326.0,829.0,970.0,45
South Dakota,744104.0,16416.0,41.0,393.0,286.0,126.0,5735.0,63.0,668.0,721.0,2.0,74.0,268.0,203.0,0.0,123.0,235.0,57.0,69.0,1434.0,247.0,570.0,47.0,657.0,625.0,1052.0,723.0,37.0,1896.0,46
Tennessee,5762777.0,248552.0,1875.0,3647.0,2276.0,2391.0,12233.0,1175.0,1130.0,1776.0,143.0,5903.0,5610.0,2570.0,201.0,1398.0,4015.0,2015.0,1977.0,14774.0,4341.0,8417.0,452.0,9718.0,6920.0,7298.0,23463.0,514.0,6039.0,47
Texas,16455855.0,7498255.0,7418.0,10325.0,12216.0,24797.0,62527.0,8945.0,7892.0,9799.0,1808.0,31864.0,73089.0,77847.0,8855.0,19520.0,44226.0,27274.0,37866.0,164449.0,17713.0,56064.0,908.0,214373.0,21281.0,82851.0,77686.0,6402.0,29839.0,48
Utah,2334994.0,274178.0,257.0,2012.0,2186.0,9603.0,8150.0,959.0,2668.0,1092.0,695.0,380.0,1487.0,751.0,663.0,510.0,1362.0,1377.0,300.0,14553.0,4900.0,4587.0,115.0,7555.0,3785.0,4394.0,4257.0,211.0,2502.0,49
Vermont,561646.0,5878.0,121.0,580.0,812.0,221.0,2156.0,612.0,1397.0,365.0,96.0,131.0,302.0,171.0,84.0,159.0,13.0,0.0,57.0,1894.0,364.0,409.0,0.0,654.0,195.0,503.0,759.0,129.0,796.0,50
Virginia,6613662.0,544455.0,5781.0,4510.0,9011.0,9054.0,26706.0,3540.0,5192.0,5358.0,1045.0,10085.0,26218.0,32266.0,8496.0,14121.0,20356.0,10319.0,5619.0,59595.0,10269.0,56852.0,275.0,49744.0,10251.0,45823.0,50869.0,1585.0,37476.0,51
West Virginia,1693131.0,17955.0,228.0,217.0,1388.0,245.0,2642.0,381.0,55.0,211.0,11.0,477.0,568.0,434.0,8.0,467.0,639.0,207.0,187.0,2823.0,876.0,415.0,21.0,916.0,342.0,1473.0,2018.0,59.0,280.0,54
Washington,5438146.0,563389.0,1232.0,4871.0,4590.0,5743.0,28129.0,4490.0,5310.0,29092.0,1515.0,3518.0,26272.0,5405.0,16271.0,2749.0,9340.0,8893.0,5070.0,98241.0,26351.0,47992.0,1411.0,61224.0,12534.0,58642.0,15944.0,3436.0,32340.0,53
Wyoming,506060.0,27302.0,79.0,131.0,401.0,127.0,2050.0,35.0,31.0,204.0,0.0,14.0,35.0,11.0,31.0,45.0,29.0,116.0,17.0,914.0,298.0,347.0,30.0,161.0,153.0,798.0,415.0,17.0,86.0,56
Wisconsin,4955244.0,249076.0,440.0,10775.0,3388.0,2115.0,31618.0,6274.0,4648.0,3039.0,365.0,1811.0,6028.0,3150.0,2400.0,1053.0,3876.0,2545.0,1746.0,16757.0,2086.0,4510.0,45546.0,4041.0,3700.0,4921.0,7899.0,766.0,2353.0,55
