State,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
New Hampshire,1138930.0,26750.0,367.0,15.0,2123.0,4511.0,3817.0,2599.0,1531.0,1425.0,1668.0,218.0,224.0,1028.0,1848.0,137.0,4557.0,585.0,1056.0,641.0,0.0,475.0,343.0,1312.0,969.0,15.0,241.0,1684.0,514.0,33,2009
New Hampshire,1141853.0,26623.0,444.0,10.0,2084.0,4224.0,3388.0,2756.0,1557.0,1517.0,1619.0,209.0,217.0,1028.0,2103.0,264.0,5014.0,609.0,1163.0,627.0,0.0,457.0,357.0,1969.0,1069.0,13.0,181.0,1596.0,440.0,33,2010
New Hampshire,1146311.0,26519.0,604.0,7.0,2104.0,3834.0,3393.0,2447.0,1434.0,1340.0,1333.0,219.0,212.0,1240.0,1939.0,397.0,4497.0,586.0,1305.0,717.0,0.0,432.0,440.0,1832.0,1063.0,15.0,203.0,1859.0,344.0,33,2011
New Hampshire,1149608.0,25944.0,784.0,6.0,1963.0,3402.0,3583.0,2774.0,1562.0,1242.0,1238.0,229.0,178.0,1140.0,1981.0,463.0,4476.0,715.0,1506.0,759.0,0.0,437.0,695.0,1887.0,1080.0,15.0,141.0,2227.0,432.0,33,2012
New Hampshire,1150977.0,26815.0,794.0,14.0,1798.0,3347.0,3920.0,2693.0,1774.0,1320.0,1504.0,210.0,205.0,1138.0,1618.0,717.0,4876.0,795.0,1420.0,792.0,9.0,237.0,555.0,2087.0,1078.0,0.0,187.0,2285.0,438.0,33,2013
New Hampshire,1155256.0,26192.0,853.0,15.0,1846.0,2925.0,4132.0,2744.0,1808.0,1208.0,1677.0,153.0,189.0,945.0,1606.0,688.0,5124.0,755.0,1369.0,902.0,6.0,265.0,567.0,2067.0,1370.0,0.0,286.0,2356.0,310.0,33,2014
New Hampshire,1159579.0,26293.0,836.0,16.0,1421.0,3055.0,3910.0,2342.0,1943.0,1199.0,1672.0,150.0,206.0,961.0,1622.0,662.0,5450.0,745.0,1273.0,867.0,5.0,381.0,593.0,1675.0,1479.0,0.0,357.0,2820.0,482.0,33,2015
New Jersey,5857324.0,1118566.0,39544.0,6403.0,87790.0,88676.0,31047.0,22833.0,45915.0,64709.0,10386.0,6189.0,7444.0,60699.0,51245.0,22941.0,97974.0,11631.0,69977.0,870.0,18.0,2497.0,436.0,16656.0,76708.0,5.0,7271.0,49647.0,16647.0,34,2009
New Jersey,5830812.0,1191818.0,41172.0,6915.0,85220.0,85058.0,29812.0,21265.0,44927.0,64695.0,10095.0,5547.0,7437.0,68662.0,58002.0,25859.0,106299.0,11819.0,73535.0,666.0,18.0,2516.0,442.0,18281.0,79096.0,0.0,6975.0,48673.0,17050.0,34,2010
New Jersey,5811515.0,1218565.0,44712.0,6318.0,82520.0,85999.0,29601.0,21434.0,45160.0,66763.0,9420.0,5483.0,7606.0,69728.0,59853.0,25904.0,108739.0,11595.0,76747.0,708.0,15.0,2882.0,466.0,19331.0,79495.0,0.0,7049.0,50729.0,15415.0,34,2011
